"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","name","data"
"1","arabitol.xylitol","sex","Male",3.82817380785956,0.676653835864704,45,45,1.14892503572093e-06,0.00105471318279182,"arabitol/xylitol","bch_raw"
"2","X1.margaroylglycerol..17.0.","sex","Male",2.17288145948371,0.404052847281653,45,45,2.91386410755106e-06,0.00267492725073187,"1-margaroylglycerol (17:0)","bch_raw"
"3","glycolithocholate.sulfate.","sex","Male",4.31776448107172,0.895286494289021,45,45,1.80481303388439e-05,0.0165681836510587,"glycolithocholate sulfate*","bch_raw"
"4","bilirubin","sex","Male",3.05203895291765,0.655608175939141,45,45,3.10354590045015e-05,0.0284905513661324,"bilirubin","bch_raw"
"5","X2.palmitoyl.GPC...16.0..","sex","Male",2.76674569544348,0.605722450065258,45,45,4.11286273516655e-05,0.037756079908829,"2-palmitoyl-GPC* (16:0)*","bch_raw"
"6","sphingomyelin..d18.0.18.0..d19.0.17.0..","sex","Male",1.42569305005361,0.316307709287281,45,45,4.98962677759634e-05,0.0458047738183344,"sphingomyelin (d18:0/18:0, d19:0/17:0)*","bch_raw"
"7","hexadecasphingosine..d16.1..","sex","Male",2.49560273171459,0.554163930947315,45,45,5.05269214047829e-05,0.0463837138495907,"hexadecasphingosine (d16:1)*","bch_raw"
"8","d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia.coli","sex","Male",4.77467685206831,1.16388596995981,45,25,0.00017866887937988,0.023941629836904,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli","tax_spec"
"9","d__Bacteria.p__Firmicutes_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Bariatricus.s__Bariatricus.comes","sex","Male",1.36894477993597,0.346277252021181,45,8,0.0002828066160861,0.0378960865555386,"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus comes","tax_spec"
"10","Amino.acid_degradation.4.aminobutanoate_degradation.","sex","Male",3.07212837055771,0.585499707535514,45,18,4.49096150172736e-06,0.00193560440724449,"Amino-acid_degradation;4-aminobutanoate_degradation.","pathway_raw"
